Domain,Group,Feature,N,Mean,Std,Min,Max,Median,CV
Geographical,East Asia/Pacific,grammatical_analysis,30,922.3733333333333,42.7635595219634,835.0,1008.4,914.4,0.046362528031270854
Geographical,East Asia/Pacific,academic,30,21.779999999999998,2.249505692828753,17.0,25.8,21.8,0.10328308966155893
Geographical,East Asia/Pacific,vocational,30,9.72,1.474940092295979,6.6,12.8,9.8,0.15174280784938055
Geographical,East Asia/Pacific,userConsiderations,30,19.646666666666665,1.6829230181613988,16.6,23.2,19.700000000000003,0.08565946817923646
Geographical,East Asia/Pacific,bridging,30,1.1733333333333333,0.5085024214727775,0.2,2.2,1.2,0.4333827455733899
Geographical,East Asia/Pacific,international,30,0.5,0.82503918402244,0.0,3.2,0.2,1.65007836804488
Geographical,East Asia/Pacific,otherTypesOfSchool,30,0.5,0.41605702526920757,0.0,1.6,0.4,0.8321140505384151
Educational,Low (<50%),sentiment_subjectivity,28,0.37910555874749247,0.01470165931365575,0.3481421988260517,0.4091990397395988,0.38062503947278625,0.038779856887954406
Educational,Low (<50%),flesch_reading_ease,28,49.50872244641737,2.3012632227818677,43.89477258923208,52.94295927132894,49.60555302052965,0.0464819754796237
Educational,Low (<50%),grammatical_analysis,28,917.3571428571429,36.15412919987228,851.8,972.6,918.0999999999999,0.03941118187325484
Educational,Low (<50%),academic,28,21.435714285714287,1.561626475402249,18.6,25.2,21.4,0.0728516183126674
Educational,Low (<50%),vocational,28,10.821428571428571,1.269983126997025,8.0,13.2,10.7,0.11735817675220032
Educational,Low (<50%),userConsiderations,28,19.657142857142855,2.1470787339888315,16.4,26.2,19.4,0.10922638908373418
Educational,Low (<50%),bridging,28,1.657142857142857,0.8604170269802082,0.2,3.4,1.8,0.5192171714535739
Educational,Low (<50%),international,28,0.19285714285714287,0.22759380878868785,0.0,1.0,0.2,1.180116045570974
Educational,Low (<50%),otherTypesOfSchool,28,0.37857142857142856,0.34141008561676467,0.0,1.6,0.2,0.9018379620065482
Educational,Medium (50-90%),sentiment_subjectivity,75,0.3769865544083152,0.015828317682055174,0.3325509848773669,0.4153922122437747,0.3799010990866614,0.041986424971834614
Educational,Medium (50-90%),flesch_reading_ease,75,47.65802049995488,2.227105006071745,41.047333075997166,53.13929315354351,47.81553009731367,0.04673095908534123
Educational,Medium (50-90%),grammatical_analysis,75,924.384,43.837917192583205,835.0,1020.0,924.2,0.047423924681283106
Educational,Medium (50-90%),academic,75,22.33866666666667,2.5044767125297054,17.0,29.0,22.2,0.11211397483569768
Educational,Medium (50-90%),vocational,75,10.528,1.5332847622546057,7.6,14.6,10.4,0.14563875021415326
Educational,Medium (50-90%),userConsiderations,75,19.776,1.990778742100689,16.0,25.8,19.6,0.10066640079392643
Educational,Medium (50-90%),bridging,75,1.1546666666666665,0.6814716454876194,0.0,2.6,1.0,0.5901890694176843
Educational,Medium (50-90%),international,75,0.38666666666666666,0.5717052097426146,0.0,2.6,0.2,1.4785479562308999
Educational,Medium (50-90%),otherTypesOfSchool,75,0.4346666666666667,0.4329325936339636,0.0,2.0,0.4,0.9960105681762965
Educational,High (>90%),sentiment_subjectivity,90,0.3716150029556247,0.01618843534789265,0.3258370181921247,0.4104317421157059,0.37130526621222304,0.04356238370124616
Educational,High (>90%),flesch_reading_ease,90,46.27716421492467,2.9113144037990444,37.87392803629304,52.5920186352285,46.25554121349327,0.06291038902638998
Educational,High (>90%),grammatical_analysis,90,913.0533333333334,35.93822164883645,832.6,1001.4,909.1,0.03936048458159047
Educational,High (>90%),academic,90,22.144444444444446,1.8945285566428074,18.2,28.0,22.299999999999997,0.08555322132355879
Educational,High (>90%),vocational,90,10.02,1.467260690056225,6.2,14.2,10.0,0.14643320260042167
Educational,High (>90%),userConsiderations,90,19.593333333333334,1.662663356847153,15.2,23.4,19.6,0.08485862658287613
Educational,High (>90%),bridging,90,1.02,0.63106829346057,0.0,2.8,0.8,0.6186944053535001
Educational,High (>90%),international,90,0.6644444444444444,0.805502301395259,0.0,3.4,0.4,1.2122944335380152
Educational,High (>90%),otherTypesOfSchool,90,0.42888888888888893,0.418194203702045,0.0,1.6,0.4,0.9750642055229028
